FINAL HEAT OF FORMATION =     -1513.8646384330  time =       0.0000000000
  7       -6.2012324538      -3.7681960201      -0.3867565361
  6        8.6477573706       3.7801368951       4.5510251621
  7       -0.9254276181      -2.5044381253      -0.9682960957
  1        0.7986492647       0.2801347396      -0.2386041709
  1       -0.4756711376       0.1394595253      -0.6904031400
  1       -3.7096298862      -1.9115158587      -0.6135254640
FINAL HEAT OF FORMATION =     -1513.8643148713  time =       1.2000000000
  6        4.5099234791      -6.8697554143      -4.1995891680
  6       -2.9035261164       7.3151551643       0.4922863610
  7       -1.1037316439       3.8567092329      -0.0464133665
  1        0.0905643536      -1.2968272052       0.8111384058
  1        0.4884297942      -0.1977067459       0.4888665774
  6       -1.1176456356       0.9113532560       1.6253602348
  8        1.8572341753       0.1566987784      -0.8848280819
  7       -6.1660690545      -3.7430956805      -0.3868473559
  6        8.6039169656       3.7438031342       4.5487496827
  7       -0.9012687032      -2.4829283500      -0.9916895145
  1        0.7553809729       0.2644806099      -0.2287285876
  1       -0.4536729448       0.1476890996      -0.6621160740
  1       -3.6595356423      -1.8055758793      -0.5661891134
FINAL HEAT OF FORMATION =     -1513.8643297391  time =       1.3000000000
  6        4.4734402165      -6.9485776777      -4.2027657887
  6       -2.9006801174       7.3070222975       0.4520043468
  7       -1.1224702750       3.8221652021      -0.0242790366
  1        0.1031237893      -1.2856465958       0.7972060421
  1        0.4818847286      -0.2011103759       0.4622168179
  6       -1.0846757457       0.9141984219       1.6063429475
  8        1.8224952854       0.1523851996      -0.8673286205
  7       -6.1275832994      -3.7157718324      -0.3871518821
  6        8.5559925918       3.7040875416       4.5465003549
  7       -0.8751974976      -2.4595813954      -1.0167397448
  1        0.7087922016       0.2475944474      -0.2180949219
  1       -0.4300418286       0.1565809618      -0.6316854304
  1       -3.6050800494      -1.6933461944      -0.5162250842
FINAL HEAT OF FORMATION =     -1513.8643449915  time =       1.4000000000
  6        4.4327080184      -7.0316288650      -4.2031184408
  6       -2.8968073291       7.2992448956       0.4073500524
  7       -1.1420237946       3.7851500316      -0.0010356533
  1        0.1165242334      -1.2735326806       0.7822655188
  1        0.4749447218      -0.2047758183       0.4337337418
  6       -1.0494224707       0.9171873652       1.5859771860
  8        1.7852646330       0.1477679969      -0.8485708189
  7       -6.0857123252      -3.6862170294      -0.3877077681
  6        8.5039237927       3.6609706680       4.5442944359
  7       -0.8472666373      -2.4344223144      -1.0433475390
  1        0.6590036898       0.2295127801      -0.2067316942
  1       -0.4048512199       0.1661199023      -0.5991941689
  1       -3.5462853123      -1.5753769320      -0.4639148514
FINAL HEAT OF FORMATION =     -1513.8643603897  time =       1.5000000000
  6        4.3896692734      -7.1163619699      -4.2015550363
  6       -2.8939431722       7.2897827348       0.3596004330
  7       -1.1622566882       3.7457441824       0.0231780408
  1        0.1307363839      -1.2604861881       0.7663335764
  1        0.4676381107      -0.2086976716       0.4034915992
  6       -1.0119542058       0.9203006357       1.5642956139
  8        1.7456081096       0.1428580720      -0.8285864981
  7       -6.0403891453      -3.6544217874      -0.3885567335
  6        8.4476461915       3.6144315008       4.5421512045
  7       -0.8175358586      -2.4074791236      -1.0714030223
  1        0.6061500686       0.2102761578      -0.1946709534
  1       -0.3781817735       0.1762892525      -0.5647333197
  1       -3.4831872942      -1.4522357954      -0.4095449047
FINAL HEAT OF FORMATION =     -1513.8643759222  time =       1.6000000000
  6        4.3420711133      -7.2034103722      -4.1976654996
  6       -2.8899197630       7.2797812880       0.3087208746
  7       -1.1830250681       3.7040342988       0.0482145532
  1        0.1457290302      -1.2465080672       0.7494280565
  1        0.4599950314      -0.2128694692       0.3715717789
  6       -0.9723435364       0.9235195160       1.5413304943
  8        1.7035948838       0.1376674899      -0.8074076803
  7       -5.9915431478      -3.6203778802      -0.3897428034
  6        8.3870916274       3.5644495107       4.5400907336
  7       -0.7860728735      -2.3787837238      -1.1007859122
  1        0.5503804654       0.1899298254      -0.1819486457
  1       -0.3501211319       0.1870706587      -0.5284017475
  1       -3.4158366309      -1.3245030750      -0.3534042026
FINAL HEAT OF FORMATION =     -1513.8643915447  time =       1.7000000000
  6        4.2905372579      -7.2921551899      -4.1909063695
  6       -2.8854344514       7.2691395214       0.2545436324
  7       -1.2041809718       3.6601132667       0.0739191810
  1        0.1614698282      -1.2315998379       0.7315680908
  1        0.4520478167      -0.2172843681       0.3380633131
  6       -0.9306672872       0.9268222678       1.5171174974
  8        1.6592983032       0.1322083687      -0.7850694610
  7       -5.9390992693      -3.5840754133      -0.3913135291
  6        8.3221880196       3.5110020171       4.5381346592
  7       -0.7529523289      -2.3483701570      -1.1313632342
  1        0.4918584118       0.1685235635      -0.1686044129
  1       -0.3207650758       0.1984439293      -0.4903074780
